X,Y
0.002601256,0.975391919
0.003435759,0.968954913
0.004478888,0.963354953
0.005749608,0.956752896
0.007556117,0.944550879
0.008720944,0.937732682
0.010028332,0.930325803
0.011363537,0.922516512
0.012615291,0.915128495
0.013867046,0.90770904
0.0151188,0.900258146
0.016370554,0.892901568
0.017622309,0.88554499
0.018874063,0.878156973
0.020073661,0.871055831
0.021238488,0.864104022
0.022490242,0.856747443
0.023741997,0.849390865
0.024993751,0.841939972
0.026245505,0.834520517
0.027552893,0.826767815
0.028888098,0.818958524
0.030139852,0.811570507
0.031391607,0.804151052
0.032643361,0.796700158
0.033895115,0.78934358
0.03514687,0.781987002
0.036398624,0.774598985
0.037598222,0.767497843
0.038763049,0.760546034
0.040014803,0.753189456
0.041266558,0.745832877
0.042518312,0.738381984
0.043770066,0.730962529
0.045077454,0.723209827
0.046412659,0.715400536
0.047664413,0.708012519
0.048916167,0.700593064
0.050167922,0.69314217
0.052512478,0.673767153
0.052921781,0.684955619
0.05583062,0.663639507
0.057052571,0.65805695
0.058512951,0.652339097
0.060181957,0.646043564
0.061850962,0.639677294
0.063519968,0.633346392
0.065188974,0.627015491
0.06685798,0.620755326
0.068526986,0.614424424
0.070195991,0.60812889
0.071864997,0.601762621
0.073534003,0.595431719
0.075203009,0.589100818
0.076872015,0.582734548
0.07854102,0.576439014
0.080210026,0.570108113
0.081879032,0.563847948
0.083548038,0.557517046
0.085217044,0.551186144
0.08688605,0.544819875
0.088555055,0.538524341
0.090224061,0.532158071
0.091893067,0.525862538
0.093562073,0.519567005
0.095231079,0.513271471
0.096900084,0.506905201
0.09856909,0.500609668
0.100238096,0.494243398
0.101628934,0.489704484
0.1051408,0.474515036
0.110252131,0.464428035
0.112181919,0.458945969
0.114879829,0.452570054
0.118110366,0.444999123
0.121448378,0.437076654
0.124855932,0.429455993
0.127814624,0.422011959
0.131045161,0.414441028
0.134383173,0.406518559
0.137721185,0.39859609
0.141059196,0.390673621
0.144397208,0.382751152
0.147735219,0.374828683
0.151073231,0.366906214
0.158977828,0.35348203
0.164703445,0.340667751
0.168667334,0.335122023
0.172422597,0.329337363
0.17617786,0.323552703
0.179933123,0.317736605
0.183688386,0.311983383
0.187443649,0.306230161
0.191198912,0.30047694
0.194954175,0.294629403
0.198709438,0.288844743
0.202464701,0.283091522
0.208685541,0.271999493
0.21656184,0.264800005
0.22061514,0.25906632
0.224787654,0.25419966
0.228960169,0.249333001
0.233132683,0.24452293
0.237305198,0.239599682
0.241477712,0.2348462
0.245650227,0.229922952
0.249822741,0.225112881
0.253995256,0.220246222
0.261425541,0.21014725
0.272354319,0.202081132
0.276526834,0.198685788
0.280699348,0.195233855
0.284871863,0.191781922
0.289044377,0.188386578
0.293216892,0.184934646
0.297389406,0.181482713
0.301561921,0.178087369
0.305734435,0.174635436
0.318251979,0.167505214
0.324415921,0.161586512
0.328683265,0.158847087
0.33285578,0.156413757
0.337028294,0.153980427
0.341200809,0.151603687
0.345373323,0.149113768
0.349545838,0.146737027
0.353718352,0.144303697
0.357890867,0.141870368
0.37040841,0.137173475
0.379170691,0.13145798
0.383343205,0.129760308
0.38751572,0.128119225
0.391688234,0.126478142
0.395860749,0.124837059
0.400033263,0.123139387
0.404205778,0.121498304
0.408378292,0.119857221
0.412550807,0.11788873
0.415703373,0.112648403
0.417905534,0.119178153
0.419325653,0.108378576
0.421673441,0.12178125
0.421799881,0.116499604
0.423535405,0.109651507
0.425902853,0.119574276
0.427279783,0.112198835
0.431744374,0.112557232
0.435916888,0.111764985
0.440089403,0.11085956
0.444261917,0.110067313
0.448434432,0.109161888
0.452606946,0.108369641
0.456779461,0.107407627
0.460951975,0.106671969
0.465402657,0.104946003
0.473747686,0.102823913
0.480240372,0.099647209
0.484318056,0.097617719
0.488490571,0.0951278
0.492663086,0.092637881
0.4968356,0.090147963
0.501008115,0.087658044
0.505180629,0.085168125
0.509353144,0.082678206
0.513525658,0.080131698
0.528291723,0.073806298
0.535089972,0.070928259
0.539395248,0.070568146
0.543567763,0.069945667
0.547740277,0.069379776
0.551912792,0.068813885
0.556085306,0.068191406
0.560257821,0.067625515
0.564430335,0.067059624
0.56860285,0.066493734
0.581120393,0.066437145
0.589465422,0.06366428
0.593637937,0.06309839
0.597810451,0.062589088
0.601982966,0.062023198
0.60615548,0.061513896
0.610327995,0.060948005
0.614500509,0.060438704
0.618673024,0.059872813
0.623016232,0.058941666
0.631190567,0.056024757
0.639535596,0.05854297
0.644542614,0.056760415
0.648715128,0.056364291
0.652887643,0.055911579
0.657060157,0.055515455
0.661232672,0.055006154
0.665405186,0.054553441
0.669577701,0.054100729
0.686267759,0.05398755
0.694612788,0.05161081
0.698785302,0.051271275
